,time,can_id,data_in_binary,data_in_hex
2559,1.3842436669999998,128,0000111111100011000000001110110100000000000000000000000011011111,0FE300ED000000DF
2560,1.384489774,1C6,0001000000000000000100000000000000000000000000000000000000100000,1000100000000020
2561,1.384737789,1.00E+09,0000111111111000000000000000000000000000000000000000000000000111,0FF8000000000007
2562,1.384945869,34A,000000000000000000000000000000000000001100000011,000000000303
2563,1.3851881019999999,12A,0000000000000000101010100010000000000000000000000000000000000000,0000AA2000000000
2564,1.385430276,269,0000000000000000000101010101000001100000000000000100000000000101,0000155060004005
2565,1.387132585,191,1010011010101011000001101010000000000110101010110000000010101000,A6AB06A006AB00A8
2566,1.38736695,C9,1000010000001011101101000000000000000000100000011000000001000100,840BB40000818044
2567,1.387599408,19B,1011011010100000100001110010001001101010101000000000000000001001,B6A087226AA00009
2568,1.3878332969999998,C9,1000010000001011101101000000000000000000100000011000000001000100,840BB40000818044
2569,1.388067722,19D,0000101101010100100011111111111100000000010110101010000011100111,0B548FFF005AA0E7
2570,1.388307511,19E,1000000000000000000000000000000100001010111100000000000001111011,800000010AF0007B
2571,1.388547718,1F5,1000000000001111000011110000000000000000000000000000000010011110,800F0F000000009E
2572,1.388790428,3D1,0000010000001010000000000000000000000000001001110000000000000000,040A000000270000
2573,1.389030635,589,1000000000000000011101111100000000000000011010000011000001001111,800077C00068304F
2574,1.3912228340000001,1F1,0010000010000000000000000000000000000000000000000000000010100000,20800000000000A0
2575,1.391461134,263,1101010101111000000000000000000000000000000000000000000001001101,D57800000000004D
2576,1.392177224,1.00E+05,0100010000000000000010101000000010000010010000000010001010110010,44000A80824022B2
2577,1.3926275959999999,348,000000000000000000000000000000000000000000000000,000000000000
2578,1.393237829,C1,0001100000000000000000000000000000011000000000000000000000110000,1800000018000030
2579,1.3934800619999999,C5,0001100000000001000000000000000000011000000000000000000000110001,1801000018000031
2580,1.3936900490000002,34A,000000000000000000000000000000000000000000000000,000000000000
2581,1.396190345,565,0110001100111000001010010000000000000000000000000000000000000000,6338290000000000
2582,1.397132635,191,1110011010101011000001101010000000000110101010110000000011101000,E6AB06A006AB00E8
2583,1.397367,C9,1000010000001011101101000000000000000000100000011100000010000100,840BB4000081C084
2584,1.397595107,19B,1111011010100000100001110010001001101010101000000000000001001001,F6A087226AA00049
2585,1.397829473,C9,1000010000001011101101000000000000000000100000011100000010000100,840BB4000081C084
2586,1.398061454,19D,0000101101011000110011111111111100000000010110101010000000101011,0B58CFFF005AA02B
2587,1.3982977859999999,19E,1100000000000000000000000000000100001010111100000000000010111011,C00000010AF000BB
2588,1.398536086,1C3,0000011010101011000001100111111000000000000000000000000100000000,06AB067E00000100
2589,1.39878416,1F5,1100000000001111000011110000000000000000000000000000000011011110,C00F0F00000000DE
2590,1.399026334,3D1,0000010000001010000000000000000000000000001001110000000000000000,040A000000270000
2591,1.399264633,589,1100000000000000011101111100000000000000011010000011000010001111,C00077C00068308F
2592,1.402091085,1.00E+05,0100010000000000000010101000000010010010010000000010000111000001,44000A80924021C1
2593,1.4025770419999999,348,000000000000000000000000000000000000000100000001,000000000101
2594,1.403205335,C1,0101100000000000000000000000000000011000000000000000000001110000,5800000018000070
2595,1.4034475080000002,C5,0101100000000001000000000000000000011000000000000000000001110001,5801000018000071
2596,1.40421766,128,0100111111100001000000001110110100000000000000000000000000011101,4FE100ED0000001D
2597,1.404465735,17D,0000000000000100000000000000000000000000000001000000000000000000,0004000000040000
2598,1.4047104119999998,1C6,0001000000000000000100000000000000000000000000000000000100100001,1000100000000121
2599,1.404954552,1.00E+09,0000111111111010000000000000000000000000000000000000000100001010,0FFA00000000010A
2600,1.405164539,34A,000000000000000000000000000000000000000100000001,000000000101
2601,1.405411124,230,0000000000000001001000000000000000000000000000000000100000101001,0001200000000829
2602,1.405649423,269,0100000000000000000101010101000001100000000000000100000001000101,4000155060004045
2603,1.407141566,191,0010011010101011000001101010000000000110101010110000000000101000,26AB06A006AB0028
2604,1.407377958,C9,1000010000001011101101000000000000000000100000010000000011000100,840BB400008100C4
2605,1.4075499169999999,140,00000000000110000000000000000000,00180000
2606,1.407786309,C9,1000010000001011101101000000000000000000100000010000000011000100,840BB400008100C4
2607,1.4080246090000001,194,0000010001000010000000000011011000101111100100010000000000000000,044200362F910000
